session,year,country,text,name,region,continent
MDV,Maldives,3.25,73,18915
FIN,Finland,64,26,24795
NER,Niger,16,8,77484
URY,Uruguay,-33,-56,58052
ZWE,Zimbabwe,-20,30,90335
PHL,Philippines,13,122,24886
SDN,Sudan,15,30,121072
RUS,Russian Federation,60,100,14625
CHN,China,35,105,215145
ESP,Spain,40,-4,63945
SUR,Suriname,4,-56,20280
ARG,Argentina,-34,-64,55614
SLV,El Salvador,13.8333,-88.9167,50646
MYS,Malaysia,2.5,112.5,35235
NPL,Nepal,28,84,40275
PRT,Portugal,39.5,-8,77924
COL,Colombia,4,-72,53314
BLR,Belarus,53,28,23874
MAR,Morocco,32,-5,65734
LCA,Saint Lucia,13.8833,-61.1333,22144
EGY,Egypt,27,30,103664
MEX,Mexico,23,-102,75440
BEL,Belgium,50.8333,4,25622
BRN,Brunei,4.5,114.6667,8680
RWA,Rwanda,-2,30,88090
CAN,Canada,60,-95,52210
ALB,Albania,41,20,66378
GRC,Greece,39,22,39645
KNA,Saint Kitts and Nevis,17.3333,-62.75,6990
GUY,Guyana,5,-59,25452
LBR,Liberia,6.5,-9.5,93285
ATG,Antigua and Barbuda,17.05,-61.8,10336
MOZ,Mozambique,-18.25,35,75640
JPN,Japan,36,138,133906
YDYE,Democratic Yemen,988
GAB,Gabon,-1,11.75,29568
BGD,Bangladesh,24,90,53928
SWE,Sweden,62,15,25696
TUR,Turkey,39,35,67850
TCD,Chad,15,19,93412
SYR,Syria,35,38,169970
CMR,Cameroon,6,12,20418
JAM,Jamaica,18.25,-77.5,29070
LUX,Luxembourg,49.75,6.1667,19049
ITA,Italy,42.8333,12.8333,42228
AGO,Angola,-12.5,18.5,159296
CRI,Costa Rica,10,-84,38745
CSK,Czechoslovakia,5412
BFA,Burkina Faso,13,-2,16875
MNG,Mongolia,46,105,44415
BHR,Bahrain,26,50.55,26752
HTI,Haiti,19,-72.4167,111364
OMN,Oman,21,57,16641
CIV,Côte dIvoire,8,-5,0
TGO,Togo,8,1.1667,30285
CYP,Cyprus,35,33,197595
MUS,Mauritius,-20.2833,57.55,34875
MMR,Myanmar,22,98,36000
ARE,United Arab Emirates,24,54,19448
GTM,Guatemala,15.5,-90.25,76084
GRD,Grenada,12.1167,-61.6667,44160
LBY,Libyan Arab Jamahiriya,25,17,10296
LKA,Sri Lanka,7,81,43884
TZA,Tanzania,-6,35,40500
SGP,Singapore,1.3667,103.8,10170
NOR,Norway,62,10,23540
LAO,Laos,18,105,25065
ISL,Iceland,65,-18,27416
AFG,Afghanistan,33,65,276390
CHL,Chile,-30,-71,83835
DMA,Dominica,15.4167,-61.3333,33669
UKR,Ukraine,49,32,56304
KEN,Kenya,1,38,49905
BLZ,Belize,17.25,-88.75,37230
FRA,France,46,2,101982
MLI,Mali,17,-4,52503
VCT,Saint Vincent and the Grenadines,13.25,-61.2,12444
VEN,Venezuela,8,-66,53774
MLT,Malta,35.8333,14.5833,45192
GHA,Ghana,8,-2,31142
GIN,Guinea,11,-10,172575
GBR,United Kingdom,54,-2,67574
ISR,Israel,31.5,34.75,816868
YUG,Yugoslavia,57720
BRB,Barbados,13.1667,-59.5333,50955
IRQ,Iraq,33,44,424626
HUN,Hungary,47,20,21645
AUT,Austria,47.3333,13.3333,45678
POL,Poland,52,20,46575
GNB,Guinea-Bissau,12,-15,39140
BWA,Botswana,-22,24,19280
MRT,Mauritania,20,-12,30195
SWZ,Swaziland,-26.5,31.5,18204
DNK,Denmark,56,10,21973
DOM,Dominican Republic,19,-70.6667,23056
MDG,Madagascar,-20,47,20118
NIC,Nicaragua,13,-85,80080
BDI,Burundi,-3.5,30,76635
CUB,Cuba,21.5,-80,130180
IRN,Iran,32,53,225952
PAK,Pakistan,30,70,117392
SEN,Senegal,14,-14,34232
BGR,Bulgaria,43,25,48600
YEM,Yemen,15,48,54810
STP,Sao Tome and Principe,1,7,10323
NLD,Netherlands,52.5,5.75,30452
VUT,Vanuatu,-16,167,17160
BOL,Bolivia,-17,-65,63158
PNG,Papua New Guinea,-6,147,33600
SLB,Solomon Islands,-8,159,31614
DEU,Germany,51,9,91160
ROU,Romania,46,25,47250
KHM,Cambodia,13,105,125790
TUN,Tunisia,34,9,43608
BRA,Brazil,-10,-55,71714
IND,India,20,77,205850
IDN,Indonesia,-5,120,59938
AUS,Australia,-27,133,72358
COD,"Congo, The Democratic Republic of the",0,25,0
HND,Honduras,15,-86.5,44264
GNQ,Equatorial Guinea,2,10,21216
FJI,Fiji Islands,-18,175,473
IRL,Ireland,53,-8,59130
DZA,Algeria,28,3,44850
USA,United States,38,-97,548228
LSO,Lesotho,-29.5,28.5,21525
GMB,Gambia,13.4667,-16.5667,17252
PER,Peru,-10,-76,52624
DDR,East Germany,198
THA,Thailand,15,100,46992
JOR,Jordan,31,36,55125
COG,Congo,-1,15,98578
NGA,Nigeria,10,8,46170
ECU,Ecuador,-2,-77.5,54464
SAU,Saudi Arabia,25,45,21182
QAT,Qatar,25.5,51.25,21735
SYC,Seychelles,-4.5833,55.6667,11691
ETH,Ethiopia,8,38,71415
TTO,Trinidad and Tobago,11,-61,26364
PRY,Paraguay,-23,-58,41400
VNM,Vietnam,16,106,45676
NZL,New Zealand,-41,174,47794
PAN,Panama,9,-80,95718
MWI,Malawi,-13.5,34,27396
DJI,Djibouti,11.5,43,15689
BEN,Benin,9.5,2.25,27720
SOM,Somalia,10,49,99036
ZMB,Zambia,-15,30,40262
CPV,Cape Verde,16,-24,19532
BHS,Bahamas,24.25,-76,40071
KWT,Kuwait,29.3375,47.6581,96570
UGA,Uganda,1,32,46494
COM,Comoros,-12.1667,44.25,25935
SDN,Sudan,15,30,121072
JPN,Japan,36,138,133906
GIN,Guinea,11,-10,172575
CRI,Costa Rica,10,-84,38745
ECU,Ecuador,-2,-77.5,54464
CMR,Cameroon,6,12,20418
THA,Thailand,15,100,46992
SGP,Singapore,1.3667,103.8,10170
USA,United States,38,-97,548228
PAK,Pakistan,30,70,117392
COL,Colombia,4,-72,53314
HTI,Haiti,19,-72.4167,111364
MDG,Madagascar,-20,47,20118
CUB,Cuba,21.5,-80,130180
URY,Uruguay,-33,-56,58052
BOL,Bolivia,-17,-65,63158
IND,India,20,77,205850
ITA,Italy,42.8333,12.8333,42228
LBR,Liberia,6.5,-9.5,93285
KEN,Kenya,1,38,49905
TUN,Tunisia,34,9,43608
CAN,Canada,60,-95,52210
PHL,Philippines,13,122,24886
FRA,France,46,2,101982
TUR,Turkey,39,35,67850
ZAF,South Africa,-29,24,363717
MEX,Mexico,23,-102,75440
DOM,Dominican Republic,19,-70.6667,23056
ISR,Israel,31.5,34.75,816868
ISL,Iceland,65,-18,27416
KHM,Cambodia,13,105,125790
SLV,El Salvador,13.8333,-88.9167,50646
LKA,Sri Lanka,7,81,43884
ZMB,Zambia,-15,30,40262
GHA,Ghana,8,-2,31142
PER,Peru,-10,-76,52624
RWA,Rwanda,-2,30,88090
IDN,Indonesia,-5,120,59938
LBN,Lebanon,33.8333,35.8333,229404
IRN,Iran,32,53,225952
